"Dropout Rate by Gender, Level of School Education and Social Category                             Report Id : 4017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generated By NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report Export Date :27 Jan 2024 12:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year:undefined,,,,,,,,,,,,,,,,,,State Name :Assam,,,,,,,,,,,,,,,,,,,District Name :all,,,,,,,,,,,,,,,,,,Block Name :none,,,,,,,,,,,,,,,,,,
,,Primary Drop Out Rate,,,Upper Primary Drop Out Rate,,,Secondary Drop Out Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Social Category,Girls,Boys,Overall,Girls,Boys,Overall,Girls,Boys,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,General,4.59,8,6.32,8.46,15.74,11.86,24.73,25.75,25.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,OBC,8.43,11.56,10.02,16.44,20.21,18.22,34.61,31.83,33.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,SC,8.91,11.45,10.19,4.9,6.62,5.73,25.48,27.91,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,ST,12.94,20.3,16.78,16.29,8.75,12.61,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARIMGANJ,Overall,5.96,9.28,7.65,9.56,15.25,12.24,26.35,26.75,26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKRAJHAR,General,6.85,7.94,7.4,9.56,12.95,11.21,26.54,23.93,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKRAJHAR,OBC,4.97,5.09,5.03,3.13,5.85,4.5,16.81,20.73,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKRAJHAR,SC,2.72,4.22,3.48,0,0.98,0,7.3,16.79,12.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKRAJHAR,ST,8.53,8.5,8.52,6.13,5.54,5.84,7.36,6.42,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOKRAJHAR,Overall,6.68,7.21,6.95,6.42,8.35,7.38,16.5,16.6,16.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHIMPUR,General,1.32,3.41,2.37,1.17,4.76,2.84,19.67,17.7,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHIMPUR,OBC,7.36,6.65,6.99,9.74,12.37,11.04,11.1,13.78,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHIMPUR,SC,7.25,8.69,7.97,14.85,16.9,15.88,20.39,17.91,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHIMPUR,ST,2.7,0.23,1.46,4.74,2.92,3.84,2.63,5.2,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKHIMPUR,Overall,4.14,4.06,4.1,6.27,7.92,7.08,11.89,12.32,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,General,9.42,6.75,8,0,3.48,1.88,17.76,14.93,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,OBC,5.04,3.45,4.22,2.55,0,0.7,14.89,17.81,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,SC,8.67,9.8,9.24,23.23,13.63,18.37,24.27,11.24,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,ST,2.08,3.79,2.96,7.99,9,8.52,5,10.48,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJULI,Overall,4.33,4.96,4.65,8.67,7.45,8.03,11.18,12.46,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,General,3.51,7.94,5.71,9.16,16.79,12.49,25.74,30.27,27.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,OBC,4.78,6.14,5.47,0.03,1.02,0.53,19.83,15.15,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,SC,0,1.91,0,0,3.2,0.77,24.08,23.72,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,ST,4.93,4.11,4.52,0,2.52,0.45,22.84,27.67,25.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORIGAON,Overall,3.08,6.59,4.83,5.51,10.81,7.96,24.32,26.34,25.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,General,6.53,9.43,7.99,13.15,19.84,16.05,26.24,26.52,26.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,OBC,2.57,4.66,3.61,5.86,10.36,8.11,10.76,10.64,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,SC,1.38,1.19,1.28,2.99,4.08,3.53,16.93,12.74,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,ST,2.05,3.74,2.92,5.77,4.67,5.22,21.71,10.78,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAGAON,Overall,5.46,7.99,6.73,11.22,16.28,13.5,22.91,20.8,22.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALBARI,General,5.91,7.8,6.87,7.59,9.18,8.36,15.75,14.56,15.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALBARI,OBC,5.32,8.84,7.07,2.64,0,1.27,13.86,8.58,11.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALBARI,SC,3.67,5.83,4.76,3.76,5.66,4.67,19.29,22.51,20.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALBARI,ST,9.85,8.48,9.18,3.88,4.11,3.99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NALBARI,Overall,5.78,7.78,6.8,6.58,7.61,7.09,15.11,13.63,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBSAGAR,General,1.6,1.31,1.45,0.03,0,0,5.5,4.23,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBSAGAR,OBC,0.65,3.58,2.14,7.09,7.42,7.26,18.68,16.28,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBSAGAR,SC,0,0,0,3.12,0,0,6.9,11.05,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBSAGAR,ST,0,0,0,0,0,0,6.66,9.5,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBSAGAR,Overall,0.1,2.3,1.22,4.77,4.03,4.41,14.44,13.06,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONITPUR,General,1.11,2.13,1.62,2.76,9.18,5.78,33.58,31.05,32.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONITPUR,OBC,6.8,6.75,6.77,8.57,12.93,10.72,23.3,25.91,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONITPUR,SC,5.54,6.22,5.87,4.45,10.34,7.43,28.14,24.13,26.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONITPUR,ST,10.3,12.74,11.53,3.25,4.27,3.74,29.21,25.65,27.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SONITPUR,Overall,4.83,5.58,5.21,5.24,10.18,7.63,28.54,27.51,28.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH SALMARA-MANKACHAR,General,17.28,22.68,20,21.73,23.63,22.55,31.43,25.89,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH SALMARA-MANKACHAR,OBC,16.03,15.38,15.7,8.2,28.08,18.65,63.16,46.48,56.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH SALMARA-MANKACHAR,SC,5.59,10.64,8.11,17.29,6.01,12.09,57.41,53.49,56.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH SALMARA-MANKACHAR,ST,13.21,16.88,15.14,28,22.61,25.42,32.69,48.94,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH SALMARA-MANKACHAR,Overall,17.1,22.44,19.8,21.6,23.47,22.41,32.56,26.93,30.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMULPUR,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMULPUR,OBC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMULPUR,SC,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMULPUR,ST,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMULPUR,Overall,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINSUKIA,General,0.17,3.12,1.73,1.94,2.93,2.46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINSUKIA,OBC,5.39,6.76,6.08,5.78,9.94,7.85,25.04,30.29,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINSUKIA,SC,1.5,0,0,0,2.03,0.2,12.05,19.24,15.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINSUKIA,ST,0.52,0,0,5.96,6.15,6.06,15.37,17.73,16.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINSUKIA,Overall,4.17,5.24,4.71,4.87,8.05,6.46,18.12,21.55,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDALGURI,General,3.03,3.7,3.36,7.75,12.53,9.91,10.79,7.84,9.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDALGURI,OBC,7.61,6.61,7.12,4.05,8.02,6.01,14.49,20.66,17.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDALGURI,SC,9.14,7.14,8.14,7.43,2.48,5.05,5.51,12.24,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDALGURI,ST,1.06,1.45,1.26,0,0,0,0,4.03,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDALGURI,Overall,4.71,4.41,4.56,3.47,5.34,4.37,6.93,10.75,8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST KARBI ANGLONG,General,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST KARBI ANGLONG,OBC,5.04,9.05,7.11,6.06,9.42,7.78,44.38,43.04,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST KARBI ANGLONG,SC,0,0,0,0.62,8.54,4.53,33.33,35.59,34.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST KARBI ANGLONG,ST,10.01,11.01,10.5,8.73,8.58,8.66,27.32,29.59,28.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST KARBI ANGLONG,Overall,7.72,8.79,8.26,6.27,7.65,6.95,30.06,30.8,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Overall,5.17,6.84,6.02,7.61,10.1,8.82,20.66,19.78,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
